GADE,Game,Platform,Hours,Narcissism,Gender,Work,Degree,GAD_T,SWL_T,SPIN_T
Not difficult at all,League of Legends,PC,40.0,1.0,Male,Unemployed / between jobs,High school diploma (or equivalent),0,30,5.0
Somewhat difficult,League of Legends,PC,14.0,3.0,Male,Student at college / university,High school diploma (or equivalent),7,20,19.0
Not difficult at all,Other,PC,23.0,1.0,Male,Student at college / university,High school diploma (or equivalent),8,22,21.0
Somewhat difficult,League of Legends,PC,7.0,3.0,Male,Student at college / university,High school diploma (or equivalent),5,29,6.0
Not difficult at all,League of Legends,PC,15.0,4.0,Male,Employed,Bachelor (or equivalent),1,30,17.0
,League of Legends,PC,20.0,1.0,Male,Unemployed / between jobs,High school diploma (or equivalent),0,16,19.0
Somewhat difficult,League of Legends,PC,16.0,2.0,Male,Student at college / university,Bachelor (or equivalent),12,9,16.0
Somewhat difficult,League of Legends,PC,20.0,1.0,Male,Student at school,,9,16,
Somewhat difficult,League of Legends,PC,18.0,4.0,Male,Student at college / university,High school diploma (or equivalent),1,25,9.0
Very difficult,League of Legends,PC,28.0,2.0,Male,Student at college / university,High school diploma (or equivalent),12,24,9.0
Not difficult at all,League of Legends,PC,16.0,1.0,Male,Student at college / university,High school diploma (or equivalent),0,28,0.0
Not difficult at all,League of Legends,PC,4.0,2.0,Male,Student at college / university,High school diploma (or equivalent),3,21,13.0
Somewhat difficult,League of Legends,PC,3.0,3.0,Male,Employed,Bachelor (or equivalent),10,15,10.0
Somewhat difficult,Starcraft 2,PC,8.0,3.0,Male,Student at college / university,Bachelor (or equivalent),5,18,12.0
Very difficult,League of Legends,PC,25.0,3.0,Male,Unemployed / between jobs,High school diploma (or equivalent),12,13,26.0
Not difficult at all,League of Legends,PC,15.0,1.0,Male,Student at college / university,High school diploma (or equivalent),11,30,
Very difficult,Other,PC,40.0,1.0,Male,Unemployed / between jobs,High school diploma (or equivalent),9,7,42.0
Not difficult at all,League of Legends,PC,21.0,1.0,Male,Student at college / university,High school diploma (or equivalent),5,23,21.0
Not difficult at all,League of Legends,PC,40.0,2.0,Male,Unemployed / between jobs,High school diploma (or equivalent),7,13,33.0
Not difficult at all,League of Legends,PC,20.0,1.0,Male,Student at college / university,High school diploma (or equivalent),1,15,12.0
Somewhat difficult,League of Legends,PC,35.0,3.0,Male,Employed,High school diploma (or equivalent),1,18,19.0
Somewhat difficult,League of Legends,PC,30.0,4.0,Male,Student at college / university,High school diploma (or equivalent),6,27,32.0
Somewhat difficult,League of Legends,PC,25.0,1.0,Male,Student at college / university,,8,15,17.0
Somewhat difficult,League of Legends,PC,14.0,1.0,Male,Student at college / university,Master (or equivalent),3,23,3.0
Not difficult at all,League of Legends,PC,16.0,2.0,Male,Employed,High school diploma (or equivalent),2,18,36.0
Somewhat difficult,League of Legends,PC,15.0,3.0,Male,Student at school,,4,29,25.0
Somewhat difficult,League of Legends,PC,5.0,2.0,Male,Student at college / university,High school diploma (or equivalent),6,24,16.0
Extremely difficult,League of Legends,PC,10.0,1.0,Male,Unemployed / between jobs,High school diploma (or equivalent),7,9,20.0
Somewhat difficult,League of Legends,PC,70.0,2.0,Male,Student at college / university,,6,15,35.0
Not difficult at all,League of Legends,PC,10.0,1.0,Male,Student at college / university,High school diploma (or equivalent),5,13,
Extremely difficult,League of Legends,PC,30.0,5.0,Male,Unemployed / between jobs,,21,35,68.0
Very difficult,League of Legends,PC,30.0,1.0,Male,Unemployed / between jobs,High school diploma (or equivalent),9,6,47.0
Very difficult,League of Legends,PC,25.0,2.0,Male,Student at school,,4,15,34.0
Not difficult at all,League of Legends,PC,15.0,4.0,Male,Student at college / university,Bachelor (or equivalent),1,28,17.0
Somewhat difficult,League of Legends,PC,5.0,2.0,Male,Student at college / university,High school diploma (or equivalent),9,20,14.0
Not difficult at all,League of Legends,PC,20.0,2.0,Male,Student at college / university,High school diploma (or equivalent),2,23,10.0
Somewhat difficult,League of Legends,PC,40.0,2.0,Male,Student at college / university,High school diploma (or equivalent),5,23,33.0
Extremely difficult,League of Legends,PC,10.0,3.0,Male,Student at college / university,High school diploma (or equivalent),7,13,45.0
Somewhat difficult,League of Legends,PC,18.0,2.0,Male,Student at college / university,High school diploma (or equivalent),6,26,6.0
Somewhat difficult,League of Legends,PC,40.0,4.0,Male,Student at college / university,Bachelor (or equivalent),6,27,19.0
Not difficult at all,League of Legends,PC,10.0,1.0,Male,Student at college / university,Master (or equivalent),7,26,4.0
Not difficult at all,League of Legends,PC,15.0,1.0,Male,Student at college / university,Bachelor (or equivalent),1,23,3.0
Somewhat difficult,League of Legends,PC,40.0,3.0,Male,Student at college / university,High school diploma (or equivalent),2,24,27.0
Not difficult at all,League of Legends,PC,42.0,5.0,Male,Unemployed / between jobs,High school diploma (or equivalent),8,30,14.0
Somewhat difficult,League of Legends,PC,2.0,1.0,Female,Student at college / university,High school diploma (or equivalent),5,10,14.0
Very difficult,League of Legends,PC,30.0,1.0,Female,Unemployed / between jobs,High school diploma (or equivalent),16,10,47.0
Somewhat difficult,World of Warcraft,PC,25.0,3.0,Male,Student at college / university,High school diploma (or equivalent),5,14,18.0
Very difficult,League of Legends,PC,35.0,2.0,Female,Student at college / university,High school diploma (or equivalent),8,21,16.0
Somewhat difficult,League of Legends,PC,10.0,2.0,Male,Student at college / university,Bachelor (or equivalent),3,24,18.0
Somewhat difficult,League of Legends,PC,21.0,1.0,Male,Unemployed / between jobs,Bachelor (or equivalent),4,12,16.0
Not difficult at all,League of Legends,PC,14.0,2.0,Male,Student at college / university,High school diploma (or equivalent),3,24,26.0
Not difficult at all,League of Legends,PC,60.0,1.0,Male,Employed,Bachelor (or equivalent),4,15,11.0
Somewhat difficult,League of Legends,PC,13.0,1.0,Male,Student at college / university,High school diploma (or equivalent),8,19,20.0
Not difficult at all,League of Legends,PC,18.0,1.0,Male,Student at college / university,High school diploma (or equivalent),0,28,24.0
Not difficult at all,League of Legends,PC,5.0,2.0,Male,Employed,High school diploma (or equivalent),6,18,5.0
Not difficult at all,League of Legends,PC,20.0,2.0,Male,Unemployed / between jobs,High school diploma (or equivalent),1,11,1.0
Somewhat difficult,League of Legends,PC,15.0,1.0,Female,Employed,Bachelor (or equivalent),1,29,13.0
Somewhat difficult,League of Legends,PC,14.0,1.0,Male,Student at school,Bachelor (or equivalent),1,17,13.0
Very difficult,League of Legends,PC,20.0,1.0,Male,Student at school,High school diploma (or equivalent),5,19,27.0
Somewhat difficult,League of Legends,PC,7.0,1.0,Female,Student at school,High school diploma (or equivalent),9,31,33.0
Somewhat difficult,League of Legends,PC,24.0,1.0,Male,Employed,Bachelor (or equivalent),2,24,8.0
Not difficult at all,League of Legends,PC,20.0,3.0,Male,Student at college / university,High school diploma (or equivalent),5,18,24.0
Somewhat difficult,League of Legends,PC,18.0,2.0,Male,Student at college / university,High school diploma (or equivalent),6,27,15.0
Not difficult at all,League of Legends,PC,10.0,1.0,Male,Student at college / university,High school diploma (or equivalent),0,15,3.0
Somewhat difficult,League of Legends,PC,5.0,1.0,Male,Employed,Bachelor (or equivalent),7,27,16.0
Not difficult at all,League of Legends,PC,30.0,2.0,Male,Student at college / university,High school diploma (or equivalent),5,10,29.0
Not difficult at all,League of Legends,PC,30.0,3.0,Male,Student at college / university,High school diploma (or equivalent),1,24,17.0
Somewhat difficult,League of Legends,PC,14.0,3.0,Male,Student at college / university,High school diploma (or equivalent),1,22,1.0
Not difficult at all,Other,"Console (PS, Xbox, ...)",4.0,3.0,Male,Employed,Bachelor (or equivalent),2,20,39.0
Somewhat difficult,League of Legends,PC,30.0,2.0,Male,Unemployed / between jobs,High school diploma (or equivalent),19,5,12.0
Somewhat difficult,League of Legends,PC,45.0,3.0,Male,Student at school,,10,16,46.0
Somewhat difficult,League of Legends,PC,24.0,2.0,Male,Student at college / university,Master (or equivalent),7,26,2.0
Not difficult at all,League of Legends,PC,18.0,2.0,Male,Student at college / university,High school diploma (or equivalent),9,25,8.0
Somewhat difficult,League of Legends,PC,17.0,2.0,Female,Student at college / university,,6,13,2.0
Not difficult at all,League of Legends,PC,12.0,3.0,Male,Student at college / university,High school diploma (or equivalent),3,18,11.0
Not difficult at all,League of Legends,PC,20.0,1.0,Male,Employed,High school diploma (or equivalent),3,9,9.0
,League of Legends,PC,5.0,2.0,Male,Student at college / university,High school diploma (or equivalent),0,25,10.0
Not difficult at all,League of Legends,PC,40.0,2.0,Male,Student at school,,1,30,23.0
Somewhat difficult,League of Legends,PC,30.0,2.0,Male,Student at school,,1,24,14.0
Not difficult at all,League of Legends,PC,5.0,1.0,Male,Employed,Bachelor (or equivalent),2,26,31.0
Somewhat difficult,League of Legends,PC,14.0,1.0,Male,Student at school,,14,7,17.0
Somewhat difficult,League of Legends,PC,35.0,1.0,Male,Student at school,High school diploma (or equivalent),3,22,32.0
,League of Legends,PC,4.0,2.0,Male,Student at school,High school diploma (or equivalent),0,33,33.0
Somewhat difficult,League of Legends,PC,25.0,1.0,Male,Student at college / university,High school diploma (or equivalent),5,16,46.0
Not difficult at all,Starcraft 2,PC,12.0,3.0,Male,Student at school,,3,21,24.0
Not difficult at all,Other,PC,25.0,3.0,Male,Student at college / university,High school diploma (or equivalent),9,17,5.0
Somewhat difficult,League of Legends,PC,15.0,2.0,Male,Student at college / university,High school diploma (or equivalent),8,9,14.0
Not difficult at all,League of Legends,PC,8.0,2.0,Male,Student at college / university,High school diploma (or equivalent),2,22,11.0
Not difficult at all,League of Legends,PC,20.0,1.0,Male,Student at college / university,High school diploma (or equivalent),1,25,7.0
Somewhat difficult,League of Legends,PC,25.0,1.0,Female,Employed,Bachelor (or equivalent),7,15,12.0
,League of Legends,PC,5.0,1.0,Male,Student at college / university,High school diploma (or equivalent),0,29,4.0
Somewhat difficult,Diablo 3,PC,30.0,1.0,Male,Employed,High school diploma (or equivalent),2,19,11.0
Not difficult at all,League of Legends,PC,9.0,1.0,Male,Student at school,,2,30,6.0
Not difficult at all,League of Legends,PC,15.0,2.0,Male,Employed,Bachelor (or equivalent),2,17,1.0
Somewhat difficult,League of Legends,PC,20.0,3.0,Male,Employed,Master (or equivalent),3,30,3.0
Not difficult at all,League of Legends,PC,15.0,1.0,Male,Student at school,,8,14,27.0
Not difficult at all,Counter Strike,PC,20.0,2.0,Male,Employed,"Ph.D., Psy. D., MD (or equivalent)",1,31,8.0
Not difficult at all,League of Legends,PC,30.0,1.0,Male,Student at college / university,High school diploma (or equivalent),5,14,25.0
Somewhat difficult,League of Legends,PC,20.0,1.0,Male,Student at college / university,High school diploma (or equivalent),6,25,25.0
Somewhat difficult,Other,PC,30.0,4.0,Male,Student at college / university,High school diploma (or equivalent),4,20,24.0
Somewhat difficult,League of Legends,PC,15.0,3.0,Male,Employed,High school diploma (or equivalent),10,14,21.0
Extremely difficult,League of Legends,PC,50.0,3.0,Male,Student at college / university,High school diploma (or equivalent),21,5,66.0
Not difficult at all,League of Legends,PC,50.0,1.0,Male,Student at college / university,High school diploma (or equivalent),7,17,31.0
Not difficult at all,League of Legends,PC,20.0,3.0,Male,Student at school,,4,29,6.0
Not difficult at all,League of Legends,PC,14.0,1.0,Male,Unemployed / between jobs,High school diploma (or equivalent),0,17,4.0
Not difficult at all,League of Legends,PC,12.0,2.0,Male,Student at college / university,High school diploma (or equivalent),3,26,25.0
Somewhat difficult,League of Legends,PC,15.0,2.0,Male,Student at school,High school diploma (or equivalent),4,21,33.0
Very difficult,League of Legends,PC,25.0,1.0,Male,Unemployed / between jobs,High school diploma (or equivalent),10,7,36.0
Not difficult at all,League of Legends,PC,22.0,1.0,Male,Unemployed / between jobs,High school diploma (or equivalent),1,11,25.0
Not difficult at all,League of Legends,PC,55.0,5.0,Male,Student at college / university,High school diploma (or equivalent),0,34,14.0
Not difficult at all,League of Legends,PC,30.0,1.0,Male,Student at college / university,High school diploma (or equivalent),7,32,28.0
Somewhat difficult,League of Legends,PC,8.0,1.0,Male,Employed,Master (or equivalent),6,18,1.0
Not difficult at all,League of Legends,PC,14.0,1.0,Male,Student at college / university,Master (or equivalent),2,29,5.0
Somewhat difficult,Starcraft 2,PC,15.0,3.0,Male,Unemployed / between jobs,Bachelor (or equivalent),3,20,0.0
Not difficult at all,League of Legends,PC,25.0,3.0,Male,Employed,High school diploma (or equivalent),9,13,33.0
Not difficult at all,League of Legends,PC,10.0,1.0,Male,Employed,Bachelor (or equivalent),1,31,4.0
Not difficult at all,League of Legends,PC,9.0,1.0,Male,Student at college / university,Bachelor (or equivalent),0,33,3.0
Somewhat difficult,League of Legends,PC,20.0,3.0,Male,Student at school,High school diploma (or equivalent),6,34,
Somewhat difficult,League of Legends,PC,30.0,4.0,Male,Employed,Bachelor (or equivalent),4,11,14.0
Somewhat difficult,League of Legends,PC,10.0,2.0,Male,Student at college / university,,19,27,39.0
Not difficult at all,League of Legends,PC,7.0,2.0,Male,Unemployed / between jobs,High school diploma (or equivalent),1,16,30.0
Somewhat difficult,League of Legends,PC,20.0,3.0,Male,Student at school,,5,17,17.0
Not difficult at all,League of Legends,PC,15.0,2.0,Male,Student at college / university,High school diploma (or equivalent),11,24,37.0
Somewhat difficult,Diablo 3,PC,20.0,2.0,Male,Student at college / university,High school diploma (or equivalent),6,23,15.0
Not difficult at all,League of Legends,PC,24.0,3.0,Male,Employed,Bachelor (or equivalent),1,16,3.0
Somewhat difficult,Starcraft 2,PC,56.0,1.0,Male,Unemployed / between jobs,Bachelor (or equivalent),11,26,16.0
Not difficult at all,League of Legends,PC,20.0,1.0,Male,Student at college / university,Bachelor (or equivalent),5,16,38.0
Somewhat difficult,League of Legends,PC,8.0,2.0,Male,Student at school,,6,33,29.0
Somewhat difficult,League of Legends,PC,25.0,2.0,Male,Employed,High school diploma (or equivalent),11,13,3.0
Not difficult at all,League of Legends,PC,20.0,3.0,Male,Employed,Bachelor (or equivalent),2,21,
Somewhat difficult,League of Legends,PC,10.0,2.0,Male,Student at college / university,High school diploma (or equivalent),5,16,39.0
Very difficult,League of Legends,PC,28.0,1.0,Male,Student at school,High school diploma (or equivalent),13,13,54.0
Not difficult at all,League of Legends,PC,15.0,3.0,Male,Student at college / university,High school diploma (or equivalent),2,25,8.0
Somewhat difficult,Diablo 3,PC,25.0,4.0,Male,Employed,Bachelor (or equivalent),4,9,23.0
Not difficult at all,League of Legends,PC,20.0,1.0,Male,Student at college / university,High school diploma (or equivalent),2,29,16.0
Not difficult at all,League of Legends,PC,30.0,3.0,Male,Student at college / university,Master (or equivalent),2,22,7.0
Not difficult at all,League of Legends,PC,48.0,1.0,Male,Employed,High school diploma (or equivalent),4,15,27.0
Not difficult at all,World of Warcraft,PC,13.0,1.0,Male,Student at school,,2,21,6.0
Not difficult at all,League of Legends,PC,35.0,1.0,Male,Student at school,High school diploma (or equivalent),5,24,29.0
Not difficult at all,League of Legends,PC,5.0,1.0,Male,Student at college / university,Bachelor (or equivalent),4,12,17.0
Not difficult at all,League of Legends,PC,4.0,1.0,Male,Student at college / university,High school diploma (or equivalent),8,15,17.0
Not difficult at all,League of Legends,PC,10.0,5.0,Male,Unemployed / between jobs,High school diploma (or equivalent),2,18,13.0
Not difficult at all,League of Legends,PC,25.0,3.0,Male,Student at college / university,High school diploma (or equivalent),2,24,23.0
Not difficult at all,League of Legends,PC,50.0,2.0,Male,Student at school,,1,23,19.0
Very difficult,Other,PC,7.0,1.0,Male,Unemployed / between jobs,,15,10,46.0
Not difficult at all,League of Legends,PC,23.0,3.0,Male,Student at college / university,Bachelor (or equivalent),1,20,8.0
Very difficult,League of Legends,PC,10.0,3.0,Male,Student at college / university,High school diploma (or equivalent),16,12,38.0
Somewhat difficult,League of Legends,PC,40.0,1.0,Male,Student at college / university,High school diploma (or equivalent),4,16,45.0
Somewhat difficult,League of Legends,PC,18.0,2.0,Male,Student at college / university,High school diploma (or equivalent),2,17,17.0
Not difficult at all,League of Legends,PC,14.0,1.0,Female,Student at college / university,High school diploma (or equivalent),1,27,24.0
Not difficult at all,Other,PC,15.0,4.0,Male,Unemployed / between jobs,Bachelor (or equivalent),3,27,26.0
Somewhat difficult,League of Legends,PC,25.0,1.0,Male,Employed,Bachelor (or equivalent),10,15,19.0
,League of Legends,PC,20.0,1.0,Male,Student at school,High school diploma (or equivalent),0,29,13.0
Somewhat difficult,League of Legends,PC,6.0,3.0,Male,Student at college / university,Bachelor (or equivalent),5,16,22.0
Somewhat difficult,League of Legends,PC,20.0,1.0,Male,Student at college / university,Bachelor (or equivalent),2,24,16.0
Not difficult at all,League of Legends,PC,15.0,1.0,Male,Student at college / university,High school diploma (or equivalent),4,26,14.0
Somewhat difficult,League of Legends,PC,8.0,1.0,Female,Student at college / university,High school diploma (or equivalent),5,26,17.0
Not difficult at all,Starcraft 2,PC,14.0,1.0,Male,Student at college / university,High school diploma (or equivalent),2,28,6.0
Somewhat difficult,League of Legends,PC,20.0,2.0,Male,Student at school,High school diploma (or equivalent),14,13,15.0
Not difficult at all,League of Legends,PC,25.0,1.0,Male,Student at school,High school diploma (or equivalent),2,24,11.0
Somewhat difficult,Hearthstone,PC,20.0,3.0,Male,Student at school,,3,28,9.0
Somewhat difficult,League of Legends,PC,8.0,1.0,Male,Employed,High school diploma (or equivalent),8,17,23.0
Very difficult,Other,PC,20.0,1.0,Male,Employed,Bachelor (or equivalent),16,29,38.0
Not difficult at all,League of Legends,PC,34.0,3.0,Male,Student at college / university,High school diploma (or equivalent),3,23,23.0
,League of Legends,PC,14.0,2.0,Male,Student at college / university,High school diploma (or equivalent),0,30,10.0
Somewhat difficult,League of Legends,PC,40.0,4.0,Male,Unemployed / between jobs,High school diploma (or equivalent),9,13,27.0
Not difficult at all,League of Legends,PC,20.0,1.0,Male,Student at college / university,High school diploma (or equivalent),3,32,8.0
Somewhat difficult,League of Legends,PC,12.0,1.0,Male,Student at college / university,High school diploma (or equivalent),4,25,17.0
Somewhat difficult,Guild Wars 2,PC,28.0,1.0,Male,Unemployed / between jobs,High school diploma (or equivalent),18,12,43.0
Somewhat difficult,League of Legends,PC,20.0,2.0,Male,Employed,Bachelor (or equivalent),4,25,17.0
Not difficult at all,League of Legends,PC,15.0,1.0,Male,Employed,Bachelor (or equivalent),0,20,13.0
Not difficult at all,League of Legends,PC,20.0,1.0,Male,Student at school,High school diploma (or equivalent),8,10,30.0
Not difficult at all,League of Legends,PC,15.0,1.0,Male,Student at school,,9,15,22.0
Somewhat difficult,League of Legends,PC,14.0,1.0,Male,Student at college / university,High school diploma (or equivalent),8,16,43.0
Not difficult at all,League of Legends,PC,35.0,1.0,Male,Unemployed / between jobs,High school diploma (or equivalent),3,16,
Extremely difficult,League of Legends,PC,50.0,4.0,Male,Student at college / university,High school diploma (or equivalent),18,6,37.0
Somewhat difficult,Other,PC,20.0,3.0,Male,Student at college / university,Bachelor (or equivalent),8,17,25.0
Somewhat difficult,League of Legends,PC,10.0,1.0,Male,Unemployed / between jobs,Bachelor (or equivalent),10,13,37.0
,League of Legends,PC,35.0,1.0,Male,Student at college / university,High school diploma (or equivalent),0,26,12.0
Somewhat difficult,Counter Strike,PC,25.0,1.0,Male,Employed,High school diploma (or equivalent),12,15,25.0
Somewhat difficult,League of Legends,PC,18.0,1.0,Male,Student at school,,2,30,9.0
Very difficult,League of Legends,PC,30.0,1.0,Female,Unemployed / between jobs,Bachelor (or equivalent),17,9,58.0
Somewhat difficult,League of Legends,PC,20.0,3.0,Male,Employed,High school diploma (or equivalent),2,5,36.0
Somewhat difficult,Starcraft 2,PC,15.0,2.0,Male,Student at school,High school diploma (or equivalent),10,16,25.0
Not difficult at all,League of Legends,PC,12.0,1.0,Male,Student at college / university,Bachelor (or equivalent),2,12,21.0
Not difficult at all,League of Legends,PC,20.0,3.0,Male,Student at college / university,High school diploma (or equivalent),1,25,4.0
Extremely difficult,League of Legends,PC,60.0,2.0,Male,Student at college / university,,14,35,26.0
Not difficult at all,League of Legends,PC,25.0,2.0,Male,Student at school,,5,21,12.0
Somewhat difficult,League of Legends,PC,25.0,1.0,Male,Employed,Master (or equivalent),2,31,9.0
Somewhat difficult,Other,PC,10.0,2.0,Male,Student at school,,8,20,27.0
Extremely difficult,League of Legends,PC,20.0,3.0,Male,Student at college / university,,9,7,22.0
Not difficult at all,League of Legends,PC,3.0,1.0,Male,Student at college / university,High school diploma (or equivalent),6,16,25.0
Very difficult,League of Legends,PC,9.0,1.0,Male,Student at college / university,Bachelor (or equivalent),7,14,25.0
Somewhat difficult,League of Legends,PC,30.0,2.0,Male,Student at college / university,High school diploma (or equivalent),7,14,24.0
Somewhat difficult,World of Warcraft,PC,14.0,4.0,Male,Student at college / university,High school diploma (or equivalent),12,17,37.0
Not difficult at all,League of Legends,PC,20.0,2.0,Male,Student at college / university,High school diploma (or equivalent),11,10,52.0
Somewhat difficult,League of Legends,PC,20.0,1.0,Male,Student at college / university,Bachelor (or equivalent),6,16,33.0
Not difficult at all,Other,PC,8.0,2.0,Male,Unemployed / between jobs,Bachelor (or equivalent),3,19,7.0
Very difficult,League of Legends,PC,25.0,2.0,Male,Unemployed / between jobs,Bachelor (or equivalent),14,9,26.0
Not difficult at all,League of Legends,PC,10.0,3.0,Male,Student at college / university,High school diploma (or equivalent),0,16,11.0
Somewhat difficult,League of Legends,PC,5.0,3.0,Female,Student at college / university,High school diploma (or equivalent),6,16,27.0
Not difficult at all,League of Legends,PC,70.0,3.0,Male,Student at school,High school diploma (or equivalent),8,12,41.0
Somewhat difficult,Hearthstone,PC,35.0,3.0,Male,Student at college / university,High school diploma (or equivalent),18,11,26.0
Somewhat difficult,League of Legends,PC,30.0,3.0,Male,Student at college / university,High school diploma (or equivalent),7,22,31.0
Not difficult at all,Starcraft 2,PC,5.0,2.0,Male,Student at college / university,Bachelor (or equivalent),3,12,7.0
Not difficult at all,League of Legends,PC,10.0,4.0,Male,Student at college / university,High school diploma (or equivalent),5,15,50.0
Extremely difficult,Heroes of the Storm,PC,18.0,2.0,Male,Student at college / university,High school diploma (or equivalent),16,18,38.0
Not difficult at all,League of Legends,PC,14.0,1.0,Male,Student at college / university,High school diploma (or equivalent),5,12,46.0
Very difficult,League of Legends,PC,10.0,1.0,Male,Employed,High school diploma (or equivalent),13,14,7.0
Not difficult at all,League of Legends,PC,15.0,2.0,Male,Student at school,High school diploma (or equivalent),2,28,11.0
Not difficult at all,League of Legends,PC,20.0,2.0,Male,Student at college / university,Bachelor (or equivalent),2,18,10.0
,League of Legends,PC,8.0,1.0,Male,Employed,Master (or equivalent),0,31,31.0
Not difficult at all,League of Legends,PC,20.0,1.0,Male,Student at school,High school diploma (or equivalent),1,25,1.0
,League of Legends,PC,10.0,2.0,Male,Student at college / university,High school diploma (or equivalent),0,29,24.0
Somewhat difficult,League of Legends,PC,15.0,2.0,Female,Student at college / university,High school diploma (or equivalent),3,18,18.0
Somewhat difficult,Other,"Console (PS, Xbox, ...)",2.0,2.0,Male,Employed,Bachelor (or equivalent),5,24,6.0
Not difficult at all,League of Legends,PC,22.0,3.0,Male,Student at college / university,High school diploma (or equivalent),7,13,24.0
Not difficult at all,League of Legends,PC,20.0,1.0,Male,Student at college / university,High school diploma (or equivalent),3,30,10.0
Somewhat difficult,League of Legends,PC,8.0,1.0,Male,Student at college / university,Bachelor (or equivalent),4,21,19.0
Somewhat difficult,Hearthstone,PC,14.0,2.0,Male,Student at college / university,High school diploma (or equivalent),7,29,29.0
Not difficult at all,League of Legends,PC,25.0,1.0,Male,Student at college / university,High school diploma (or equivalent),2,19,12.0
Not difficult at all,League of Legends,PC,35.0,1.0,Male,Student at school,High school diploma (or equivalent),3,24,24.0
Not difficult at all,League of Legends,PC,15.0,3.0,Male,Student at college / university,"Ph.D., Psy. D., MD (or equivalent)",6,31,32.0
Not difficult at all,League of Legends,PC,20.0,2.0,Male,Employed,High school diploma (or equivalent),2,21,13.0
Somewhat difficult,League of Legends,PC,20.0,3.0,Male,Student at college / university,High school diploma (or equivalent),10,7,24.0
Extremely difficult,League of Legends,PC,10.0,1.0,Male,Student at college / university,High school diploma (or equivalent),21,7,35.0
Somewhat difficult,League of Legends,PC,16.0,3.0,Male,Employed,High school diploma (or equivalent),3,10,44.0
Somewhat difficult,League of Legends,PC,30.0,2.0,Male,Unemployed / between jobs,High school diploma (or equivalent),2,18,32.0
Somewhat difficult,League of Legends,PC,10.0,2.0,Female,Unemployed / between jobs,High school diploma (or equivalent),3,9,27.0
Somewhat difficult,League of Legends,PC,20.0,3.0,Male,Employed,Bachelor (or equivalent),3,17,38.0
Very difficult,Other,PC,60.0,2.0,Female,Unemployed / between jobs,High school diploma (or equivalent),12,18,39.0
Not difficult at all,Other,PC,10.0,1.0,Male,Student at college / university,High school diploma (or equivalent),2,27,10.0
Not difficult at all,Starcraft 2,PC,14.0,3.0,Male,Employed,High school diploma (or equivalent),2,26,7.0
Not difficult at all,League of Legends,PC,10.0,2.0,Male,Employed,High school diploma (or equivalent),4,17,9.0
Not difficult at all,Other,PC,21.0,1.0,Male,Student at school,High school diploma (or equivalent),6,23,19.0
Somewhat difficult,League of Legends,PC,18.0,2.0,Male,Student at college / university,,10,17,14.0
Somewhat difficult,League of Legends,PC,25.0,1.0,Male,Student at college / university,High school diploma (or equivalent),2,14,11.0
Somewhat difficult,League of Legends,PC,2.0,3.0,Male,Student at college / university,High school diploma (or equivalent),13,14,26.0
,League of Legends,PC,20.0,1.0,Male,Student at college / university,High school diploma (or equivalent),0,33,4.0
,League of Legends,PC,40.0,1.0,Male,Unemployed / between jobs,High school diploma (or equivalent),0,25,3.0
Not difficult at all,World of Warcraft,PC,14.0,2.0,Male,Student at college / university,High school diploma (or equivalent),3,30,11.0
Extremely difficult,Other,PC,14.0,2.0,Male,Student at college / university,Bachelor (or equivalent),14,13,17.0
Very difficult,League of Legends,PC,20.0,2.0,Male,Student at college / university,High school diploma (or equivalent),3,21,36.0
Somewhat difficult,League of Legends,PC,20.0,3.0,Male,Student at school,High school diploma (or equivalent),4,16,31.0
Not difficult at all,Other,PC,35.0,2.0,Male,Student at college / university,High school diploma (or equivalent),1,17,26.0
Not difficult at all,League of Legends,PC,10.0,2.0,Male,Student at college / university,Bachelor (or equivalent),2,28,6.0
Not difficult at all,Other,PC,4.0,1.0,Male,Student at college / university,High school diploma (or equivalent),12,21,15.0
Very difficult,League of Legends,PC,50.0,2.0,Male,Student at college / university,High school diploma (or equivalent),14,17,31.0
Not difficult at all,League of Legends,PC,13.0,2.0,Male,Student at college / university,High school diploma (or equivalent),5,25,12.0
Somewhat difficult,Starcraft 2,PC,15.0,2.0,Male,Employed,Bachelor (or equivalent),4,19,7.0
Not difficult at all,League of Legends,PC,26.0,2.0,Male,Student at school,,2,17,13.0
Extremely difficult,League of Legends,PC,20.0,2.0,Male,Student at college / university,High school diploma (or equivalent),10,25,10.0
Not difficult at all,League of Legends,PC,8.0,2.0,Male,Student at college / university,Bachelor (or equivalent),0,21,4.0
Not difficult at all,League of Legends,PC,16.0,2.0,Male,Student at school,High school diploma (or equivalent),3,24,15.0
Not difficult at all,League of Legends,PC,20.0,3.0,Male,Employed,High school diploma (or equivalent),8,16,22.0
Not difficult at all,League of Legends,PC,35.0,3.0,Male,Student at school,High school diploma (or equivalent),0,28,4.0
Not difficult at all,League of Legends,PC,45.0,2.0,Male,Student at college / university,High school diploma (or equivalent),3,21,22.0
Somewhat difficult,League of Legends,PC,20.0,1.0,Male,Student at school,,5,30,25.0
Not difficult at all,League of Legends,PC,10.0,2.0,Male,Student at school,High school diploma (or equivalent),6,22,18.0
Somewhat difficult,League of Legends,PC,35.0,1.0,Male,Student at college / university,Master (or equivalent),11,13,26.0
Not difficult at all,League of Legends,PC,6.0,2.0,Male,Student at school,High school diploma (or equivalent),2,23,
Not difficult at all,League of Legends,PC,40.0,2.0,Male,Employed,Bachelor (or equivalent),0,17,
